Tip Matrice,Nr threads,Timp executie,,,,
"N=M=10, n=m=3",0,0.0752,,,,
"N=M=1000, n=m=5",0,78.96011,,,,
"N=10 M=10000, n=m=5",0,22.89439,,,,
"N=10000 M=10, n=m=5",0,15.31928,,,,
"N=M=10000, n=m=5",0,7777.32536,,,,
.---------------------------------------------------------------------------.,,,,,,Row-Threads
"N=M=10, n=m=4",4,0.65857,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=M=1000, n=m=5",2,51.08939,,,,
"N=M=1000, n=m=5",4,41.11447,,,,
"N=M=1000, n=m=5",8,46.08109,,,,
"N=M=1000, n=m=5",16,68.113,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=10 M=10000, n=m=5",2,26.49759,,,,
"N=10 M=10000, n=m=5",4,41.201,,,,
"N=10 M=10000, n=m=5",8,50.72812,,,,
"N=10 M=10000, n=m=5",16,55.5255,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=10000 M=10, n=m=5",2,15.27247,,,,
"N=10000 M=10, n=m=5",4,22.39666,,,,
"N=10000 M=10, n=m=5",8,47.15346,,,,
"N=10000 M=10, n=m=5",16,89.82771,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=M=10000, n=m=5",2,3760.06384,,,,
"N=M=10000, n=m=5",4,2306.43367,,,,
"N=M=10000, n=m=5",8,1796.82304,,,,
"N=M=10000, n=m=5",16,1527.54245,,,,
.---------------------------------------------------------------------------.,,,,,,Column-Threads
"N=M=10, n=m=4",4,0.72494,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=M=1000, n=m=5",2,63.63194,,,,
"N=M=1000, n=m=5",4,46.44514,,,,
"N=M=1000, n=m=5",8,44.93838,,,,
"N=M=1000, n=m=5",16,60.13198,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=10 M=10000, n=m=5",2,25.51964,,,,
"N=10 M=10000, n=m=5",4,66.94351,,,,
"N=10 M=10000, n=m=5",8,96.5378,,,,
"N=10 M=10000, n=m=5",16,102.91713,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=10000 M=10, n=m=5",2,19.97547,,,,
"N=10000 M=10, n=m=5",4,24.56699,,,,
"N=10000 M=10, n=m=5",8,38.53907,,,,
"N=10000 M=10, n=m=5",16,47.33289,,,,
.---------------------------------------------------------------------------.,,,,,,
"N=M=10000, n=m=5",2,3618.26179,,,,
"N=M=10000, n=m=5",4,2434.29195,,,,
"N=M=10000, n=m=5",8,1545.79668,,,,
"N=M=10000, n=m=5",16,1321.16126,,,,
